EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	20:05:54	0	0.1000	1.0529173872039401	0.5774096846580505	0.0	0.0	0.0	0.0
2	20:06:35	0	0.1000	0.6057626496216255	0.5335744619369507	0.0	0.0	0.0	0.0
3	20:07:14	0	0.1000	0.5606108457771684	0.5206838846206665	0.0	0.0	0.0	0.0
4	20:07:53	0	0.1000	0.52395916116955	0.48045143485069275	0.1943	0.1105	0.1409	0.0958
5	20:08:33	0	0.1000	0.5051638326955086	0.43200454115867615	0.2889	0.1051	0.1542	0.097
